CNT_CODE,CURRENCY,EX_RATE,EX_AVG,SEARCH_SCORE,EX_SCORE
JP,JPY,895.0,950.0,3.85,3.57
CN,CNY,191.0,193.0,4.96,2.32
VN,VND,6.0,6.0,4.57,2.05
TH,THB,39.0,39.0,4.33,2.05
PH,PHP,26.0,25.0,4.52,1.0
HK,HKD,170.0,170.0,0.0,2.05
TW,TWD,47.0,47.0,1.92,2.05
MO,MOP,161.0,166.0,0.0,2.84
SG,SGD,993.0,992.0,2.38,2.03
MY,MYR,299.0,307.0,4.99,2.74
ID,IDR,9.0,9.0,3.92,2.05
KH,KHR,0.32,0.32,5.0,2.05
TR,TRY,45.0,66.0,4.86,5.0
IN,INR,16.0,17.0,0.0,3.6
MN,MNT,0.37,0.44,1.0,4.5
MM,MMK,0.62,0.63,0.0,2.47
ES,EUR,1446.0,1442.0,4.97,1.98
DE,EUR,1446.0,1442.0,0.0,1.98
GB,GBP,1676.0,1657.0,0.0,1.75
US,USD,1322.0,1330.0,4.94,2.21
CA,CAD,979.0,987.0,0.0,2.27
MX,MXN,75.0,81.0,0.0,4.0
AU,AUD,877.0,885.0,0.0,2.29
NZ,NZD,819.0,817.0,0.0,1.99
